person_name,person_id,person_id_temporary,person_id_jgu,person_id_DigiKAR_final,person_name_variants
Johann Joseph Appel,1,,,1,
Franz Mauritius Bachmann,2,,,2,
Franz Moritz Bachmann,2,,,2,
Franz Moritz Bachmann,2?,,,2,
Franz Moriz Bachmann,2,,,2,
Franz Madhes,45,,,2,
Adolph Freiherr von Bellmont,3,,,3,
[Adolph Freiherr] von Bellmont,3,,,3,
Johann Arnold Freiherr von Bellmont,4,,,4,
Johann Arnold Freiherr von Bellmont,4?,,,4,
Johann Arnold Freiherr von Bellmont,805,,,4,
Johann Arnold von Bellmont,4,,,4,
Johann Arnold von Bellmont,805,,,4,
Johann Arnoldt von Bellmont,4,,,4,
Johann Arnold von Bellmont ,4,,,4,
Johann Arnold Freiherr von Bellmont ,4,,,4,
Arnold von Bellmont,4?,,,4,
Johann Arnold de Bellmont,4,,,4,
Philipp Franz von Bellmont,5,,,5,
[Philipp Franz] von Bellmont,5,,,5,de Bellmont
Philipp Frantz von Bellmont,5,,,5,
Philipp Franciscus von Bellmont,5,,,5,
Philippus Franciscus a Bellmont,5,,,5,
Karl Christian von Benzel,6,,,6,
K[arl] C[hristian] Graf von Benzel-Sternau,6,,,6,
K[arl] Ch[ristian] Graf von Benzel-Sternau,6,,,6,
Carl Christian E. Graf Benzel-Sternau,6,,,6,
Karl Christian Ernst Graf von Benzel-Sternau,6,,,6,
Karl Christian Graf von Benzel-Sternau,6,,,6,
Christian Ernst Karl Graf von Bentzel-Sternau,6,,,6,
Carl Christian Graf von Benzel-Sternau,6,,,6,
Christian Ernst Graf von Bentzel-Sternau,6,,,6,
Karl Graf von Bentzel-Sternau,6,,,6,
Karl Christian Ernst Graf von Bentzel-Sternau,6,,,6,
Karl von Benzel,6?,,,6,Benzell
Johann Jacob Billstein,7,,,7,
Johann Jacob von Bilstein,7,,,7,
Johann Jakob von Bielstein,7,,,7,
Johann Jacob Bilstein,7,,,7,
Johann Jakob Bielstein,7,,,7,
Franz Emmerich Kaspar von Bilstein,8,,,8,
Johann Michael Bockhlet,9,,,9,
[Johann Michael] Booklet,9,,,9,
Johann Michael Bockleth,9,,,9,
[Johann Michael] Bocklet,9,,,9,
[Johann Michael] Bockleth,9,,,9,Bookleth
N.N. Bocklett,9,,,9,
Siegfried Wilhelm Bollmann,10,,,10,
Siegfriedt Wilhelm Bollmann,10,,,10,
Siegfried Willhelm Bollmann,10,,,10,
Siegfried Wilhelm] Bollmann,10,,,10,
Johann Georg Brückmann,12,,,12,
Johann Georg Brückmann,807,,,12,
Karl Wilhelm Joseph Adam Freiherr von Breidbach zu Bürresheim,13,,,13,
Carl Wilhelm Joseph Adam Fraiherr von Breidbach zu Bürresheim,13,,,13,
Karl Wilhelm Freiherr von Breidbach-Bürresheim,13,,,13,
Karl Wilhelm Joseph Adolph von Breidbach zu Bürresheim,13,,,13,
Carl Wilhelm Joseph Adam von Breidbach zu Bürresheim,13,,,13,
Karl Wilhelm Joseph von Breidbach-Buerresheim,13,,,13,
Tobias Lagus [?],14,,,14,
Tobias Lagus,14,,,14,
Tobias Lagus,535,,,14,
Johann Tobias Lagus Junior,14,,,14,
Georg Melchior Klemens,15,,,15,Clemenz
Georg Melchior Clemens,15,,,15,
[Georg Melchior] Clemens,15,,,15,
George Melchior Clemens,15,,,15,
Georg Melchior von Clemens,15,,,15,Georg Melchior von Clemens Milwitz
Georg Melchior von Clemens,509,,,15,Georg Melchior von Clemens Milwitz
Georg Melchior von Clemens,38,,,15,Georg Melchior von Clemens Milwitz
Johann Georg Cöler,16,,,16,
[Johann Georg] Cöler,16,,,16,Köhler
Johann Georg Coeler,16,,,16,
Johannes Georg Köhler,16,,,16,Koehler / Köler
Johann Georg Köhler,16,,,16,Koehler / Köler
Johann Rudolph Cöler,17,,,17,
Johann Rudolph Cöhler,17,,,17,
Johann Adolph Cöler,17,,,17,
[Johann Adolph] Cöler,17,,,17,
Johann Rudolph Coeler,17,,,17,
Johannes Rudolf Köhler,17,,,17,Koehler / Köler
Johann Rudolph Koehler,17,,,17,Coehler
Georg Melchior von Klemens,15,,,18,Georg Melchior Klemens
Ernst Ludwig Wilhelm Freiherr von Dacheröden,18,,,18,
Karl Theodor Anton Maria Kämmerer von Worms Freiherr von Dalberg,19,,,19,
Karl Theodor Anton Maria von Dalberg,19,,,19,
Karl Theodor von Dalberg,19,,,19,
Carl Theodor Freiherr von Dalberg,19,,,19,
Carl Theodor Anton Maria von Dalberg,19,,,19,
Carl Theodor Cämmerer von Worms Freiherr von und zu Dalberg,19,,,19,
Karl Theodor Anton von Dalberg,19,,,19,
Karl Theodor Freiherr von Dalberg,19,,,19,Karl Theodor Anton Maria Reichsfreiherr von Dalberg
Johann Heinrich Demar,20,,,20,
N.N. Dehmer,20,,,20,
Johann Heinrich Dehmer,20,,,20,
Friedrich Ludwig Döring,21,,,21,
Friedrich Ludwig Doering,21,,,21,
[N.N.] Fuxius,22,,,22,
Emmerich Ernst Joseph Fuxius,22,,,22,
Johann Heinrich Genau,23,,,23,
Johann Heinrich] Genau,23,,,23,
N.N. Genau,23,,,23,
Sigismund Gerstenberg,24,,,24,
Sigmund Gerstenberger,24,,,24,
[Sigmund] Gerstenberger,24,,,24,Gerstenberg
[Sigismund] Gerstenberg,24,,,24,
[Sigmund] Gerstenberg,24,,,24,
Sigismund Gerstenberger,24,,,24,
Gustav Adolph Graberg,25,,,25,
Gustavus Adolphus Graberg,25,,,25,
Gustav Adolf Graberg,25,,,25,
Johann Jakob von Gudenus,26,,,26,
Johann Jakob von Gudenus,806,,,26,
Johann Jacob von Gudenus,26,,,26,
Johann Jakob Gudenus,378,,,26,
Johann Jakob Gudenus,26,,,26,
Christoph Ignaz von Gudenus,101,,,27,
Christoph Ignaz von Gudenus,27,,,27,
Christoph Ignatius von Gudenus,101,,,27,
Christoph Ignatius Gudenus,27,,,27,
Christoph Ignaz Freiherr von Gudenus,27,,,27,
Christoph Ignaz Gudenus,27,,,27,
Daniel Moritz von Gudenus,28,,,28,
Daniel Mauritius von Gudenus,28,,,28,
Daniel Mauritius Gudenus,28,,,28,
Daniel Mauritius de Gudenus,28,,,28,
Daniel Moritz Gudenus,28,,,28,
Peter Heinrich Heiland,30,,,30,
Peter Heinrich Heiland,804,,,30,
Peter Heinrich Jacob Heylandt,30,,,30,
Peter Heinrich Jakob Heiland,30,,,30,
N.N. Heyland,30,,,30,N.N. Heiland
Elias Friedrich Heitmann,31,,,31,
Johann Nepomuk Christoph Hucke,32,,,32,
Franz Hugo Hunoldt,33,,,33,
Hugo Frantz Hunoldt,33,,,33,
[Franz Hugo] Hunold,33,,,33,
Hugo Franz Hunold,33,,,33,
Franz Hugo Hunold,33,,,33,
Hugo Franciscus Hunold,33,,,33,
Franciscus Hugo Hunold,33,,,33,
Anselm Franz Friedrich von Ingelheim,34,,,34,
Anselm von Ingelheim,34,,,34,
Anselm Franz von Ingelheim,34,,,34,
Casparus Junck,35,,,35,
Caspar Jungk,35,,,35,
Kaspar Jungk,35,,,35,
Christoph Kerl,36,,,36,
Johann Christoph Kerl,36,,,36,
Georg von Klemens zu Millwitz,38,,,38,
Georg von Clemens-Millwitz,38,,,38,
Anton Koch,39,,,39,
Gabriel Heinrich Lilien,40,,,40,
Melchior Ludolph Lilien,41,,,41,
Johann Jacob Lincker,42,,,42,
Johann Jakob Lincker von Lützenwick,42,,,42,
[Johann Jacob] Lincker von Lützenwick,42,,,42,
Johann Jacob Lincker [von Lützenwick],42,,,42,
[Johann Jacob] von Lincker,42,,,42,â Lincker
Johann Jakob Lincker,42,,,42,
Johann Jacob Lincker von Lützenwick,42,,,42,
Johann Jakob Freiherr Lincker von Lützenwick,42,,,42,
Johann Jacob Lyncker von Lützenwiyck,42,,,42,
Johann Daniel Christoph Freiherr Lincker von Lützenwick,43,,,43,
Johann Daniel Christoph Freiherr Lincker von Lützenwick,802,,,43,
Johann Daniel Lincker,218,,,43,
Johann Daniel Lincker,227,,,43,
Johann Daniel Lincker,?,,,43,
Johann Daniel Christoph Freiherr Lyncker von Lützenwick,43,,,43,"Lyncker von Lützenwick, Johann Daniel Freiherr / Lyncker von Lützenwick, Johann Daniel / Lincker und Lützenwick, Johann Daniel Christoph von / Lincker und Lützenwick, Johann Daniel von / Lincker, Johann Daniel Christoph Jacob von / Lincker, Johann Daniel Christoph von / Lincker, Johann Daniel Christophorus Jacobus de / Lincker, Johann Daniel von / Linker und Lutzenwick, Johann Daniel von / Linker von Lutzenwick, Johann Daniel / Linker von Lützenwick, Johann Daniel / Linker von Lützenwick, Johann Daniel Christoph / Lützenwick, Johann Daniel Lyncker von / Lincker, Johann Daniel Christoph Jakob von / Lincker, Johann Daniel Christophorus Jakobus de / Linker von Lützenwick, Johann Daniel Christof"
Johann Daniel Freiherr Lyncker von Lützenwick,43,,,43,
Johann Daniel Christoph Lincker Ritter und Edler von Lützenwick,43,,,43,
Johann Daniel Lincker Ritter und Edler von Lützenwick,218,,,43,
Johann Daniel Lincker von Lützenwick,227,,,43,
Johann Daniel Christoph Lincker von Lützenwick,43,,,43,
Johann Daniel Christoph Lincker von Lützenwick,802,,,43,
N.N. von Lincker,43,,,43,
Johann Daniel Freiherr Lincker von Lützenwick,43,,,43,
Johann Daniel Lyncker,43,,,43,
Johann Daniel Christoph Freiherr Lincker von Lützenwick,802,,,43,Johann Daniel Christoph Linckert von Lützewick
Franz Damian Linden,44,,,44,
Damian Freiherr von Linden,44,,,44,
Franz Damian Freiherr von Linden,44,,,44,
Matthias Joseph Anton Franz Matthes,45,,,45,Matthias Joseph Anton Frantzmatdhes
Mathias Josephus Antonius Frantz Madhes,45,,,45,
Joseph Matthias Frantz Matthes,45,,,45,
[Elias] Meltzer,47,,,47,Flie [?] Meltzzern
Elias Melzer,47,,,47,
Elias Meltzer,47,,,47,
[Andreas Ignaz] Meyer,48,,,48,
Andreas Ignaz Meyer,48,,,48,
Joachim Andreas Meyer,49,,,49,Meuer
Joachim Andreas Meier,49,,,49,
Johann Andreas Meyer,50,,,50,
Anselm Franz Molitoris,51,,,51,
Anselm Franz von Molitoris,51,,,51,
[Anselm Franz] Molitoris,51,,,51,
N.N. Molitoris,51,,,51,
