person_id,person_name,person_name_variants,person_editorial_comment,person_name_normalised,pers_ID_FS,person_relevance,person_name_corrected,person_frequency
1.0,Johann Joseph Appel,,,Johann Joseph Appel,1,0,Johann Joseph Appel,1
2.0,Franz Madhes,,,Matthias Joseph Anton Franz Matthes,45,poi-1,Franz Madhes,1
2.0,Franz Mauritius Bachmann,,,Franz Moritz Bachmann,2,poi-1,Franz Moritz Bachmann,5
2.0,Franz Moritz Bachmann,,,Franz Moritz Bachmann,2?,poi-1,Franz Moritz Bachmann,22
2.0,Franz Moritz Bachmann,,,Franz Moritz Bachmann,2?,poi-1,Franz Moritz Bachmann,22
2.0,Franz Moritz Bachmann,Franciscus M. Bachmann / Franz Mauritius Bachmann / Franz Moriz Bachmann,,Franz Moritz Bachmann,2?,poi-1,Franz Moritz Bachmann,22
2.0,Franz Moriz Bachmann,,,Franz Moritz Bachmann,2,poi-1,Franz Moriz Bachmann,6
9096.0,Mauritius Bachmann,Mauriz,,Franz Moritz Bachmann,2,poi-1,Moritz Bachmann,1
9096.0,Mauritius Bachmann,,,Franz Moritz Bachmann,2,poi-1,Moritz Bachmann,1
9096.0,Mauritius Bachmann,Mauriz Bachmann,,Franz Moritz Bachmann,2,poi-1,Moritz Bachmann,1
9096.0,Mauritius Bachmann,Moritz Bachmann,,Franz Moritz Bachmann,2,poi-1,Moritz Bachmann,1
9096.0,Moritz Bachmann,,,Franz Moritz Bachmann,2,poi-1,Moritz Bachmann,2
3.0,[Adolph Freiherr] von Bellmont,,,Adolph von Bellmont,,poi-1,Adolph von Bellmont,1
3.0,Adolph Freiherr von Bellmont,,,Adolph von Bellmont,,poi-1,Adolph von Bellmont,2
3.0,Adolph Freiherr von Bellmont,,,Adolph von Bellmont,,poi-1,Adolph von Bellmont,2
4.0,Arnold von Bellmont,,,###,,poi-1,Johann Arnold von Bellmont,3
4.0,Johann Arnold de Bellmont,,,Johann Arnold von Bellmont,4,poi-1,Johann Arnold von Bellmont,14
4.0,Johann Arnold Freiherr von Bellmont,,,###,4?,poi-1,Johann Arnold von Bellmont,32
4.0,Johann Arnold Freiherr von Bellmont,,,###,4?,poi-1,Johann Arnold von Bellmont,32
4.0,Johann Arnold Freiherr von Bellmont,Johann Arnold von Bellmont,,###,4?,poi-1,Johann Arnold von Bellmont,32
4.0,Johann Arnold Freiherr von Bellmont,Johannes Arnold von Bellmont,,###,4?,poi-1,Johann Arnold von Bellmont,32
4.0,Johann Arnold Freiherr von Bellmont,Johann Arnold de Bellmont,,###,4?,poi-1,Johann Arnold von Bellmont,32
4.0,Johann Arnold Freiherr von Bellmont,,,###,4?,poi-1,Johann Arnold von Bellmont,32
4.0,Johann Arnold Freiherr von Bellmont,Geheimer Rat,,###,4?,poi-1,Johann Arnold von Bellmont,32
4.0,Johann Arnold Freiherr von Bellmont ,,,Johann Arnold von Bellmont,4,poi-1,Johann Arnold von Bellmont,32
4.0,Johann Arnold Freiherr von Bellmont ,Carl Freiherr von Bellmont,,Johann Arnold von Bellmont,4,poi-1,Johann Arnold von Bellmont,32
4.0,Johann Arnold von Bellmont,,,Johann Arnold von Bellmont,4,poi-1,Johann Arnold von Bellmont,34
4.0,Johann Arnold von Bellmont ,,,Johann Arnold von Bellmont,4,poi-1,Johann Arnold von Bellmont ,30
4.0,Johann Arnoldt von Bellmont,,,Johann Arnold von Bellmont,4,poi-1,Johann Arnoldt von Bellmont,2
5.0,[Philipp Franz] von Bellmont,de Bellmont,,Philipp Franz von Bellmont,,poi-1,Philipp Franz von Bellmont,2
5.0,Philipp Franciscus von Bellmont,,,Philipp Franz von Bellmont,5,poi-1,Philipp Franz von Bellmont,12
5.0,Philipp Frantz von Bellmont,,,Philipp Franz von Bellmont,5,poi-1,Philipp Franz von Bellmont,4
5.0,Philipp Franz von Bellmont,,,Philipp Franz von Bellmont,5,poi-1,Philipp Franz von Bellmont,19
5.0,Philipp Franz von Bellmont,de Bellmont,,Philipp Franz von Bellmont,5,poi-1,Philipp Franz von Bellmont,19
5.0,Philipp Franz von Bellmont,Franciscus Philippus Bellmon,,Philipp Franz von Bellmont,5,poi-1,Philipp Franz von Bellmont,19
5.0,Philipp Franz von Bellmont,Franciscus Philippus Bellmont Francofourtensis,,Philipp Franz von Bellmont,5,poi-1,Philipp Franz von Bellmont,19
5.0,Philipp Franz von Bellmont,,,Philipp Franz von Bellmont,5,poi-1,Philipp Franz von Bellmont,19
5.0,Philippus Franciscus a Bellmont,,,Philipp Franz von Bellmont,5,poi-1,Philipp Franz von Bellmont,1
6.0,Carl Christian E. Graf Benzel-Sternau,,,Karl Christian Ernst von Bentzel zu Sternau,6,poi-1,Karl Christian Ernst Graf von Bentzel-Sternau,2
6.0,Carl Christian Graf von Benzel-Sternau,,,Karl Christian Ernst von Bentzel zu Sternau,6,poi-1,Karl Christian Ernst Graf von Bentzel-Sternau,15
6.0,Christian Ernst Graf von Bentzel-Sternau,,,Karl Christian Ernst von Bentzel zu Sternau,6,poi-1,Karl Christian Ernst Graf von Bentzel-Sternau,18
6.0,Christian Ernst Karl Graf von Bentzel-Sternau,,,Karl Christian Ernst von Bentzel zu Sternau,6,poi-1,Karl Christian Ernst Graf von Bentzel-Sternau,43
9097.0,Christian Joseph Freiherr von Benzel,,,Karl Christian Ernst von Bentzel zu Sternau,6,poi-1,Christian Joseph Freiherr von Benzel,1
6.0,K[arl] C[hristian] Graf von Benzel-Sternau,,,Karl Christian Ernst von Bentzel zu Sternau,6,poi-1,Karl Christian Ernst Graf von Bentzel-Sternau,5
6.0,K[arl] Ch[ristian] Graf von Benzel-Sternau,,,Karl Christian Ernst von Bentzel zu Sternau,6,poi-1,Karl Christian Ernst Graf von Bentzel-Sternau,3
6.0,Karl Christian Ernst Graf von Bentzel-Sternau,,,Karl Christian Ernst von Bentzel zu Sternau,6,poi-1,Karl Christian Ernst Graf von Bentzel-Sternau,42
6.0,Karl Christian Ernst Graf von Bentzel-Sternau,Karl Christian Ernst Freiherr von Bentzel-Sternau,,Karl Christian Ernst von Bentzel zu Sternau,6,poi-1,Karl Christian Ernst Graf von Bentzel-Sternau,42
6.0,Karl Christian Ernst Graf von Benzel-Sternau,,,Karl Christian Ernst von Bentzel zu Sternau,6,poi-1,Karl Christian Ernst Graf von Bentzel-Sternau,16
6.0,Karl Christian Graf von Benzel-Sternau,,,Karl Christian Ernst von Bentzel zu Sternau,6,poi-1,Karl Christian Ernst Graf von Bentzel-Sternau,23
6.0,Karl Christian von Benzel,,,Karl Christian Ernst von Bentzel zu Sternau,6,poi-1,Karl Christian Ernst Graf von Bentzel-Sternau,2
6.0,Karl Graf von Bentzel-Sternau,,,Karl Christian Ernst von Bentzel zu Sternau,6,poi-1,Karl Christian Ernst Graf von Bentzel-Sternau,16
6.0,Karl von Benzel,Benzell,,###,6?,poi-1,Karl Christian Ernst Graf von Bentzel-Sternau,2
9098.0,Jacobus de Billstein,,,Johann Jakob von Bielstein,7,poi-1,Jakob Billstein,2
7.0,Johann Jacob Billstein,,,Johann Jakob von Bielstein,7,poi-1,Johann Jakob Billstein,7
7.0,Johann Jacob Bilstein,,,Johann Jakob von Bielstein,7,poi-1,Johann Jakob Billstein,3
7.0,Johann Jacob von Bilstein,,,Johann Jakob von Bielstein,7,poi-1,Johann Jakob Billstein,1
7.0,Johann Jakob Bielstein,,,Johann Jakob von Bielstein,7,poi-1,Johann Jakob Billstein,2
7.0,Johann Jakob von Bielstein,,,Johann Jakob von Bielstein,7,poi-1,Johann Jakob Billstein,4
8.0,Franz Emmerich Kaspar von Bilstein,,,Franz Emmerich Kaspar von Bielstein,8,0,Franz Emmerich Kaspar von Bilstein,2
9.0,[Johann Michael] Bocklet,,,Johann Michael Bocklet,,poi-1,Johann Michael Bocklet,4
9.0,[Johann Michael] Bocklet,Booklet,,Johann Michael Bocklet,,poi-1,Johann Michael Bocklet,4
9.0,[Johann Michael] Bockleth,Bookleth,,Johann Michael Bocklet,,poi-1,Johann Michael Bocklet,1
9.0,[Johann Michael] Booklet,,,Johann Michael Bocklet,,poi-1,Johann Michael Bocklet,1
9.0,Johann Michael Bockhlet,,,Johann Michael Bocklet,9,poi-1,Johann Michael Bocklet,6
9.0,Johann Michael Bockleth,,,Johann Michael Bocklet,9,poi-1,Johann Michael Bocklet,2
9.0,N.N. Bocklett,,,Johann Michael Bocklet,9,poi-1,Johann Michael Bocklet,1
10.0,Siegfried Wilhelm Bollmann,,,Siegfried Wilhelm Bollmann,10,poi-1,Siegfried Wilhelm Bollmann,2
10.0,Siegfried Wilhelm Bollmann,,,Siegfried Wilhelm Bollmann,10,poi-1,Siegfried Wilhelm Bollmann,2
10.0,Siegfried Wilhelm] Bollmann,,,Siegfried Wilhelm Bollmann,10,poi-1,Siegfried Wilhelm Bollmann,3
10.0,Siegfried Willhelm Bollmann,,,Siegfried Wilhelm Bollmann,10,poi-1,Siegfried Wilhelm Bollmann,4
10.0,Siegfriedt Wilhelm Bollmann,,,Siegfried Wilhelm Bollmann,10,poi-1,Siegfried Wilhelm Bollmann,1
12.0,Johann Georg Brückmann,,,Johann Georg Brückmann,12,poi-1,Johann Georg Brückmann,75
12.0,Johann Georg Brückmann,,,Johann Georg Brückmann,12,poi-1,Johann Georg Brückmann,75
13.0,Carl Wilhelm Joseph Adam Fraiherr von Breidbach zu Bürresheim,,,Karl Wilhelm Joseph Adolph von Breidbach zu Bürresheim,13,poi-1,Karl Wilhelm Joseph Adam Freiherr von Breidbach zu Bürresheim,3
13.0,Carl Wilhelm Joseph Adam von Breidbach zu Bürresheim,,,Karl Wilhelm Joseph Adolph von Breidbach zu Bürresheim,13,poi-1,Karl Wilhelm Joseph Adam Freiherr von Breidbach zu Bürresheim,2
13.0,Karl Wilhelm Freiherr von Breidbach-Bürresheim,,,Karl Wilhelm Joseph Adolph von Breidbach zu Bürresheim,13,poi-1,Karl Wilhelm Joseph Adam Freiherr von Breidbach zu Bürresheim,3
13.0,Karl Wilhelm Joseph Adam Freiherr von Breidbach zu Bürresheim,,,Karl Wilhelm Joseph Adolph von Breidbach zu Bürresheim,13,poi-1,Karl Wilhelm Joseph Adam Freiherr von Breidbach zu Bürresheim,2
13.0,Karl Wilhelm Joseph Adam Freiherr von Breidbach zu Bürresheim,,,Karl Wilhelm Joseph Adolph von Breidbach zu Bürresheim,13,poi-1,Karl Wilhelm Joseph Adam Freiherr von Breidbach zu Bürresheim,2
13.0,Karl Wilhelm Joseph Adam Freiherr von Breidbach zu Bürresheim,Karl Wilhelm Anton Freiherr von Breidbach zu Bürresheim,,Karl Wilhelm Joseph Adolph von Breidbach zu Bürresheim,13,poi-1,Karl Wilhelm Joseph Adam Freiherr von Breidbach zu Bürresheim,2
13.0,Karl Wilhelm Joseph Adolph von Breidbach zu Bürresheim,,,Karl Wilhelm Joseph Adolph von Breidbach zu Bürresheim,13,poi-1,Karl Wilhelm Joseph Adam Freiherr von Breidbach zu Bürresheim,4
13.0,Karl Wilhelm Joseph von Breidbach-Buerresheim,,,Karl Wilhelm Joseph Adolph von Breidbach zu Bürresheim,13,poi-1,Karl Wilhelm Joseph Adam Freiherr von Breidbach zu Bürresheim,4
14.0,Johann Tobias Lagus Junior,,,Tobias Lagus,14,0,Tobias Lagus,2
14.0,Tobias Lagus,,,Tobias Lagus,14,0,Tobias Lagus,6
14.0,Tobias Lagus,,,Tobias Lagus,14,0,Tobias Lagus,6
14.0,Tobias Lagus [?],,,Tobias Lagus,14,0,Tobias Lagus,3
15.0,[Georg Melchior] Clemens,,,Georg Melchior von Clemens,,poi-1,Georg Melchior Clemens,3
15.0,Georg Melchior Clemens,,,Georg Melchior von Clemens,15,poi-1,Georg Melchior Clemens,4
15.0,Georg Melchior Clemens,Clemenz,,Georg Melchior von Clemens,15,poi-1,Georg Melchior Clemens,4
15.0,Georg Melchior Klemens,Clemenz,,Georg Melchior von Clemens,15,poi-1,Georg Melchior Clemens,2
15.0,Georg Melchior von Clemens,Georg Melchior von Clemens Milwitz,,Georg Melchior von Clemens,15,poi-1,Georg Melchior von Clemens,9
15.0,Georg Melchior von Clemens,,,Georg Melchior von Clemens,15,poi-1,Georg Melchior von Clemens,9
15.0,George Melchior Clemens,,,Georg Melchior von Clemens,15,poi-1,George Melchior Clemens,1
16.0,[Johann Georg] Cöler,Köhler,,Johann Georg Cöler,,poi-1,Johann Georg Köhler,6
16.0,[Johann Georg] Cöler,,,Johann Georg Cöler,,poi-1,Johann Georg Köhler,6
15.0,Georg Melchior von Clemens,Georg von Clemens Milwiz,,Georg Melchior von Clemens,15,poi-1,Georg Melchior von Clemens,9
16.0,Johann Georg Coeler,,,Johann Georg Cöler,16,poi-1,Johann Georg Köhler,6
16.0,Johann Georg Cöler,,,Johann Georg Cöler,16,poi-1,Johann Georg Köhler,4
16.0,Johann Georg Köhler,Koehler / Köler,,Johann Georg Cöler,16,poi-1,Johann Georg Köhler,2
16.0,Johannes Georg Köhler,Koehler / Köler,,Johann Georg Cöler,16,poi-1,Johann Georg Köhler,3
17.0,[Johann Adolph] Cöler,,,Johann Rudolph Cöler,,poi-1,Johann Adolph Köhler,1
9095.0,[Johann Rudolph] Cöler,,,Johann Rudolph Cöler,,poi-1,Johann Adolph Köhler,6
17.0,Georg Melchior von Clemens,Clemenz,,Georg Melchior von Clemens,15,poi-1,Georg Melchior von Clemens,9
17.0,Johann Adolph Cöler,,,Johann Rudolph Cöler,17,poi-1,Johann Adolph Köhler,2
17.0,Johann Rudolph Coeler,,,Johann Rudolph Cöler,17,poi-1,Johann Rudolph Köhler,4
17.0,Johann Rudolph Coeler,Köhler,,Johann Rudolph Cöler,17,poi-1,Johann Rudolph Köhler,4
17.0,Johann Rudolph Cöhler,,,Johann Rudolph Cöler,17,poi-1,Johann Rudolph Köhler,2
17.0,Johann Rudolph Cöler,,,Johann Rudolph Cöler,17,poi-1,Johann Rudolph Köhler,11
17.0,Johann Rudolph Cöler,Köhler,,Johann Rudolph Cöler,17,poi-1,Johann Rudolph Köhler,11
17.0,Johann Rudolph Koehler,Coehler,,Johann Rudolph Cöler,17,poi-1,Johann Rudolph Köhler,1
17.0,Johannes Rudolf Köhler,Koehler / Köler,,Johann Rudolph Cöler,17,poi-1,Johann Rudolph Köhler,2
