,place_name,id
0,Griechenland,255683
1,Preußen,554234
2,Königsberg (Preußen),554234
3,Tallinn,588409
4,Tallinn,588409
5,Tallinn,588409
6,Temeswar,665087
7,Temeswar,665087
8,Eger,3077835
9,Eger,3077836
10,Eger,3077837
12,Traben-Trabach,2821690
13,Konstantinopel,745044
14,Bartenstein,776337
15,Malta,2562258
16,Sachsengang / Groß-Enzersdorf,2598945
17,Sachsengang / Groß-Enzersdorf,2598945
18,Dänemark,2610613
19,Kopenhagen,2618425
20,Horsens,2619771
21,Horsens,2619771
22,Horsens,2619771
23,Oxford,2640729
24,England,2643743
25,England,2643743
26,London,2643743
27,Schweiz,2657896
28,Zürich,2657896
29,Zell (ZH),2657390
30,Zell / Mosel,2804880
31,Zell / Mosel,2804881
32,Zell / Mosel,2804882
33,Wengen,2658020
34,Wäldi,2658068
35,Vendlincourt,2658171
36,Steinhausen,2658483
37,Unterwalden,2658504
38,Pruntrut,2659171
39,Pruntrut,2659171
40,Pruntrut,2659171
41,Pruntrut,2659171
42,Porrentruy,2659171
43,Neuchatel,2659496
44,Meiringen,2659700
45,Meiringen,2659700
46,Luzern,2659811
47,Hornussen AG,2660299
48,Freiburg im Üechtland,2660718
49,Erlenbach / Zürich,2660872
50,Erlenbach / Zürich,2660872
51,Erlenbach ZH,2660872
52,Erlenbach ZH,2660872
53,Erlenbach ZH,2660872
54,Diessenhofen,2661016
55,Delsberg,2661035
56,Delsberg,2661035
57,Breitenbach,2661412
58,Bonvillars,2661445
59,Basel,2661604
60,Altdorf,2661780
61,Uppsala,2666199
62,Schweden,2673730
63,Stockholm,2673730
64,Zwolle / Niederlande,2743477
65,Zelhem,2743963
66,Wommels,2744191
67,Wittem,2744287
68,Veere,2745739
69,Valkenburg,2745874
70,Utrecht,2745912
71,Utrecht,2745912
72,Utrecht,2745912
73,Tiel,2746331
74,Someren,2747021
75,Someren,2747021
76,Someren,2747021
77,Sittard,2747203
78,Sittard,2747203
79,Hertogenbosch,2747351
80,Den Haag,2747373
81,Den Haag,2747373
82,Holland,2747891
83,Niederlande,2747891
84,Niederlande,2747891
85,Roermond,2748000
86,Roermond,2748000
87,Rheden,2748201
88,Ootmarsum,2749317
89,Nymwegen,2750053
90,Limburg,2792348
91,Maastricht,2751283
92,Leiderdorp,2751771
93,Leiden,2751773
94,Friesland,2751792
95,Friesland,2751792
96,Kamperland,2753097
97,Kampen,2753106
98,Horsten,2753583
99,Hilvarenbeek / Brabant,2754066
100,Groningen,2755251
101,Groningen,2755251
102,Gouda,2755420
103,Franeker,2755845
104,Franeker,2755845
105,Franeker,2755845
106,Elburg,2756232
107,Brabant,2756253
108,Brabant,2756253
109,Delft,2757345
110,Brielle,2758326
111,Brielle,2758326
112,Beegden,2759353
113,Arnhem,2759661
114,Amsterdam,2759794
115,Amsterdam,2759794
116,Amersfoort,2759821
117,Amersfoort,2759821
118,Aduard,2759961
119,Wien,2761369
120,Wien,2761369
121,Wien,2761369
122,Wien,2761369
123,Wien,2761369
124,Wien,2761369
125,Wien,2761369
126,Wien,2761369
127,Wien,2761369
128,Wenns,2761488
129,Villach,2762372
130,Stainach-Pürgg,2764708
131,Sommerein,2764937
132,Hall (Tirol),2764958
133,St. Pölten,2766429
134,Salzburg,2766824
135,Rudmanns,2766996
136,Dachstein,6450620
137,Dachstein,6450620
138,Mostbach,2771158
139,Österreich,2772400
140,Österreich,2772400
141,Innsbruck,2775220
142,Innsbruck,2775220
143,Graz,2778067
144,Bregenz,2781503
145,Brumov,3078550
146,Braunau,3078550
148,Bad Deutsch-Altenburg,2782068
149,Altheim (Walldürn),2957140
150,Altheim (Walldürn),2957141
151,Weismes,2784199
152,Visé,2784548
153,Visé,2784548
154,Virton,2784555
155,Verviers,2784821
156,Verviers,2784821
157,Ursel,2785094
158,Thimister,2785562
159,Stablo,2786185
161,Soumagne,2786344
162,Soumagne,2786344
163,Sint-Lievens-Houtem,2786616
164,Sart-lez-Spa,2787254
165,Saint-Hubert,2787407
166,Saint-Hubert,2787407
167,Ronse,2787769
168,Plombières,2788849
169,Namur,2790471
170,Mons ,2790869
171,Mechelen,2791537
172,Mechelen,2791537
173,Malmedy,2791834
174,Malmedy,2791834
175,Malmedy,2791834
176,Malmedy,2791834
177,Malmedy,2791834
178,Malmedy,2791834
179,Lottert,2792087
180,Lischert,2792273
181,Limbourg / Verviers,2792348
182,Lüttich,2792413
183,Lüttich,2792413
184,Lüttich,2792413
185,Lüttich,2792413
186,Lüttich,2792413
187,Lüttich,2792413
188,Lüttich,2792413
189,Leuven,2792482
190,Leuven,2792482
191,Jupille-sur-Meuse,2794856
192,Jupille,2794856
193,Jalhay,2794989
194,Ypern,2795100
195,Huy,2795113
196,Houffalize,2795322
199,Hasselt,2796491
200,Hamont,2796625
201,Halanzy,2796722
202,Habay-la-Vieille,2796807
203,Eupen,2798573
204,Ensival,2798730
205,Dinant,2799357
206,Cheneux,2800386
207,Brüssel,2800866
208,Brüssel,2800866
209,Brüssel,2800866
210,Boutersem,2801215
211,Bouillon,2801283
212,Bouillon,2801283
213,Aubel,2802985
214,Aubel,2802985
215,Aubel,2802985
216,Andrimont,2803187
217,Alken,2803285
218,Zweibrücken,2803620
219,Zweibrücken,2803620
220,Zülpich,2803723
221,Zülpich,2803723
222,Zornheim,2803882
223,Zitz (Rosenau),2803992
224,Zeutern,2804647
225,Zeitz,2804922
226,Zeiskam,2804951
227,Frankfurt-Zeilsheim,2804979
228,Zeil am Main,2805008
229,Zaisenhausen,2805283
230,Zahlbach (Mainz),2805319
231,Wüstfeld,2805468
232,Würzburg,2805615
233,Würzburg,2805615
234,Würzburg,2805615
235,Würzburg,2805615
236,Würzburg,2805615
237,Würzburg,2805615
238,Würzburg,2805615
239,Würges,2805708
240,Würges,2805708
241,Wörth am Rhein,2806081
242,Wörrstadt,2806105
243,Wörrstadt,2806105
244,Worms,2806142
245,Worms,2806142
246,Worms,2806142
247,Worms,2806142
248,Worms,2806142
249,Worms,2806142
250,Worms,2806142
251,Worbis,2806192
252,Worbis,2806192
253,Worbis,2806192
254,Worbis,2806192
255,Worbis,2806192
256,Worbis,2806192
257,Worbis,2806192
258,Worbis,2806192
259,Worbis,2806192
260,Worbis,2806192
