geonames_id,wikidata_id
11203841,#
11203842,#
11203843,#
11203844,#
11395551,Q694286
11609507,#
11609528,#
11777806,#
11836291,#
11974845,#
11977135,#
12047311,#
12047312,#
12200272,#
12358897,#
255683,Q133123
2562258,Q20923010
2598945,Q21858054
2610613,Q27116
2618425,Q1748
2619771,Q190235
2640729,Q34217
2643743,Q84
2657390,Q4737993
2657896,#
2658020,Q589968
2658068,Q22641699
2658171,Q22413544
2658483,Q22390095
2658504,Q63931
2659171,#
2659496,Q69345
2659700,#
2659811,Q4191
2660299,Q22641718
2660718,Q22578688
2660872,Q22419022
2661016,Q67128
2661035,Q63896
2661412,Q56464859
2661445,Q22580537
2661604,Q56447734
2661780,Q22397480
2666199,Q25286
2673730,Q1754
2743477,Q793
2743963,Q1616224
2744191,Q3112153
2744287,Q2615141
2745739,Q3184100
2745874,Q100076
2745912,Q39297398
2746331,Q33506500
2747021,Q7476457
2747203,Q73022
2747351,Q2766547
2747373,Q36600
2747891,Q34370
2748000,Q9783
2748201,Q13137607
2749317,Q1615365
2750053,Q13188714
2751283,Q1309
2751771,Q1000817
2751773,Q43631
2751792,Q25390
2753097,Q1723294
2753106,Q10014
2753583,#
2754066,Q9404653
2755251,Q749
2755420,Q33439340
2755845,Q41974
2756232,Q13188262
2756253,Q9832
2757345,Q690
2758326,Q33426218
2759353,Q631499
2759661,Q1310
2759794,Q727
2759821,Q33421377
2759961,Q612259
2761369,Q1741
2761488,Q21881895
2762372,Q21863743
2764708,Q871426
2764937,Q21880376
2764958,Q21881884
2766429,Q21865352
2766824,Q34713
2766996,#
2767687,#
2771158,Q63404502
2772400,Q41329
2775220,Q32060456
2778067,Q21871155
2778438,Q694421
2781503,Q21882134
2782068,Q21880383
2784199,Q21760162
2784548,Q21760086
2784555,Q51367625
2784641,Q31573389
2784821,Q31571899
2785094,#
2785562,#
2786185,Q31532444
2786318,Q21763303
2786344,Q21763297
2786616,Q21764821
2787254,Q2572526
2787407,Q21764663
2787769,Q31493468
2788849,Q21764380
2790286,Q21766053
2790471,Q51389725
2790869,Q34328915
2791537,Q21765751
2791834,Q31824088
2792087,#
2792273,#
2792348,Q21765585
2792413,Q21765571
2792482,Q21765562
2794856,Q1713746
2794989,Q21767964
2795100,Q31824036
2795113,Q18542624
2795322,Q21767894
2795912,Q21767807
2796491,Q21767697
2796625,Q2795025
2796722,#
2796807,Q2000118
2798573,Q31579678
2798730,Q2549044
2799357,Q31567774
2800320,Q21768505
2800386,#
2800866,Q239
2801215,Q21770446
2801283,Q12360419
2802985,Q21770111
2803187,#
2803285,Q21770050
2803620,Q49278489
2803723,Q5398
2803882,Q49294821
2803992,#
2804647,Q197021
2804880,Q31614
2804881,#
2804882,Q33527130
2804922,Q33728196
2804951,Q49294467
2804979,Q314065
2805008,Q33527002
2805283,Q49294421
2805319,#
2805468,#
2805615,Q2999
2805708,#
2806081,Q33521983
2806105,Q49293410
2806142,#
2806192,Q2593375
2806353,Q49293406
2806380,Q49293247
2806439,Q49293244
2806596,Q49293237
2806770,Q502591
2806852,Q49293403
2806870,Q627586
2806979,#
2807072,#
2807184,Q564827
2807240,Q49278431
2807244,#
2807300,Q49293178
2807440,Q33517716
2807465,Q32761623
2807521,#
2807549,Q33517660
2807594,Q11045
2807595,Q881635
2807778,Q49293143
2807788,Q10923
2807852,Q22469
2808155,#
2809123,Q49293049
2809191,Q33516820
2809291,Q49293040
2809346,Q1721
2809728,#
2809757,Q2567626
2809889,Q4178
2810110,Q49292985
2810132,#
2810221,#
2810345,Q688629
2810413,Q537491
2810678,Q49278421
2810716,Q21405656
2810734,Q2563401
2810748,#
2810791,#
2810808,Q32753806
2810833,Q10936
2810838,#
2810878,Q11120
2810883,Q49292937
2810917,Q49292936
2810961,Q258391
2810972,#
2811000,Q32753762
2811074,#
2811311,#
2811354,Q32753672
2811392,#
2811412,#
2811455,#
2811712,#
2811860,Q33514563
2811909,Q44500
2811918,Q49292853
2811927,Q579006
