function_old,function_new,function_value
#,#,
@,@,
Absolvent,Absolvent,S
Abt,Abt,G
Adeliger,Adliger,P
Adjunkt,Adjunkt,V
Administrator,Administrator,"je nachdem V und/oder G"
Advokat,Advokat,R
Aktuar,Aktuar,R
Altarist,Altarist,G
Ältester,Ältester,
Alumnus,Alumnus,S
Amtmann,Amtmann,V
Antragsteller,Antragsteller,
Anwesender,Anwesender,
Archivar,Archivar,V
Archivrat,Archivrat,V
Arzt,Arzt,V
Assessor,Assessor,R
"Assessor, Supernumerar",Assessor,R
Auditor,Auditor,R
Beichtvater,Beichtvater,G
"Beichtvater, für Externe","Beichtvater, für Externe",G
Berater,Berater,
Bewerber,Bewerber,
Bibliothekar,Bibliothekar,V
Bischof,Bischof,G
Bücherkommissar,Bücherkommissar,V
Bücherzensor,Bücherzensor,V
Buchhändler,Buchhändler,W
Bürger,Bürger,P
Bürgermeister,Bürgermeister,V
Collector,Collector,"Kann V oder G sein"
Concionator S. templi,Prediger,G
Definitor,Definitor,G
Dekan,Dekan,G
Diakon,Diakon,G
Diener,Diener,"am ehesten H"
Diplomat,Diplomat,D
Botschafter, Diplomat, D
Direktor,Direktor,V
Domizellar,Domizellar,G
Edelknabe,Edelknabe,H
Edelknabenpräzeptor,Edelknabenpräzeptor,H
Ehemann,Ehemann,P
Ehrendoktor,Ehrendoktor,S
Ehrenmitglied,Ehrenmitglied,
Eigentümer,Eigentümer,P
Einwohner,Einwohner,P
Entlassener,Entlassener,P
Erbe,Erbe,P
Erzbischof,Erzbischof,G
Erzieher,Erzieher,P
Exulant,Exulant,P
Fiskal,Fiskal,V
Großfiskal,Großfiskal,V
Fiskaladvokat,Fiskaladvokat,R
Flüchtling,Flüchtling,P
Forscher,Forscher,
Friedensrichter,Friedensrichter,R
Gastwirt,Gastwirt,W
Geheimer Reichsreferendar,Geheimer Reichsreferendar,R
Geistlicher,Geistlicher,G
Geistlicher Vater,Geistlicher Vater,G
Generalvikar,Generalvikar,G
Gerichtsschreiber,Gerichtsschreiber,R
Gesandter,Gesandter,D
"stellvertretender Gesandter",Gesandter, stellvertretender,D
Glashändler,Händler,W
Händler,Händler,W
Großfiskal,Großfiskal,V
Großherzog,Großherzog,
Großsiegelbewahrer,Großsiegelbewahrer,V
Gutachter,Gutachter,
Habilitand,Habilitand,L
Häftling,Häftling,P
Händler,Händler,W
Historiker,Historiker,L
Historiker, Kirchengeschichte,Kirchengeschichtshistoriker,L
Hofapotheker,Hofapotheker,"W, H"
Hofarzt,Hofarzt,"M, M, H"
Hofgerichtsadvokat,Hofgerichtsadvokat,R
Hofgerichtsrat,Hofgerichtsrat,R
Hofgerichtsschreiber,Hofgerichtsschreiber,"R, V"
Hofkaplan,Hofkaplan,G
Hofmathematiker,Hofmathematiker,"H, L"
Hofmeister,Hofmeister,H
Hofpfalzgraf,Hofpfalzgraf,P
Hofprediger,Hofprediger,G
Immatrikulation,Immatrikulation,S
Inspektor,Inspektor,V
Jurist,Jurist,R
Kämmerer,Kämmerer,H
Kammerherr,Kammerherr,H
Kanoniker,Kanoniker,G
Kantor,Kantor,G
Kanzler,Kanzler,V
Kanzlist,Kanzlist,V
