institution_old,institution_new
"2. Bayerische Kammer","Königreich Bayern, Kammer der Abgeordneten"
"?]","n/a"
@,###
[?],"n/a"
"[Kurfürstentum Mainz, Kammer zu Erfurt]","Kurfürstentum Mainz, Kammer Erfurt]"
"[Kurfürstentum Mainz, Kammer zu Erfurt]","Kurfürstentum Mainz, Kammer Erfurt]"
"[Kurfürstentum Mainz, Regierung zu Erfurt]","Kurfürstentum Mainz, Regierung Erfurt]"
"[Kurfürstentum Mainz, Stadtrat zu Erfurt ?]","Kurfürstentum Mainz, Stadtrat Erfurt ?]"
"[Kurfürstentum Mainz, Vizedomamt Erfurt]","Kurfürstentum Mainz, Vizedomamt Erfurt]"
"[Kurfürstentum Mainz, Vizedomamt zu Erfurt]","Kurfürstentum Mainz, Vizedomamt Erfurt]"
"[Kurfürstentum Mainz]","Kurfürstentum Mainz"
[Regierung zu Erfurt?],"Kurfürstentum Mainz, Regierung Erfurt?]"
[Regierung zu Erfurt],"Kurfürstentum Mainz, Regierung Erfurt]"
[Stadtgericht],"Kurfürstentum Mainz, Weltliches Gericht Erfurt]"
[Stadtrat zu Erfurt],"Kurfürstentum Mainz, Stadtrat Erfurt]"
[Universität Erfurt],"Universität Erfurt"
[Universität Mainz],"Universität Mainz"
[Vizedomamt],"Kurfürstentum Mainz, Vizedomamt Erfurt]"
[Weltliches Gericht?],"Kurfürstentum Mainz, Weltliches Gericht Erfurt]"
Adam Tils $ Advokat,"Advokatur, Adam Tils"
Adeliges Seminar Würzburg,"Adeliges Seminar Würzburg"
Akademie Bamberg,"Akademie Bamberg"
Akademie der Wissenschaften,"Akademie der Wissenschaften München"
Akademie der Wissenschaften zu Erfurt,"Akademie nützlicher Wissenschaften Erfurt"
Akademie nützlicher Wissenschaften,"Akademie nützlicher Wissenschaften Erfurt"
Akademisches Gymnasium,"Akademisches Gymnasium Konstanz"
Allerheiligenkirche,"Allerheiligenkirche Erfurt"
Andreanum,"Andreanum Hildesheim"
Andreasgemeinde,"Andreasgemeinde Erfurt"
Andreasschule,"Andreanum Hildesheim"
Appellationsgericht für Böhmen und Mähren,"Appellationsgericht, Böhmen / Mähren"
Assoziationstag der Reichskreise,"Assoziationstag, Reichskreise"
Athenäum,"Athenäum Trier"
Augustiner,"Augustiner ###"
Augustiner Löwen,"Augustiner Löwen"
Augustiner Mainz,"Augustiner Mainz"
Augustinergemeinde,"Augustinergemeinde Erfurt"
Augustinerkirche zu Erfurt,"Augustinerkirche Erfurt"
Augustinerkloster Köln,"Augustinerkloster Köln"
Augustinerkloster Mainz,"Augustinerkloster Mainz"
Augustinerkloster Salzburg,"Augustinerkloster Salzburg"
Augustinerprovinz Bayern,"Augustinerprovinz Bayern"
Augustinerprovinz Rhein-Schwaben,"Augustinerprovinz Rhein-Schwaben"
Augustinerschule,"Augustinerschule Erfurt"
"Barfüßerkirche","Barfüßerkirche Erfurt"
Barfüßerkirchengemeinde,"Barfüßerkirche Erfurt"
Barfüßerschule,"Barfüßerschule Erfurt"
Baron Heinrich Horn,"Privathaus, Baron Heinrich Horn"
Bayerische Akademie der Wissenschaften,"Bayerische Akademie der Wissenschaften"
Bayerische Deputiertenkammer,"Königreich Bayern, Kammer der Abgeordneten"
Bayerische Ständekammer,"Königreich Bayern, Kammer der Abgeordneten"
"böhmisch-österreichische Hofkanzlei","Königreich Böhmen, Hofkanzlei / Erzherzogtum Österreich, Hofkanzlei"
Bistum Konstanz,"Bistum Konstanz"
Bistum Regensburg,"Bistum Regensburg"
Bistum Worms,"Bistum Worms"
Boineburgische Bibliothek,"Boineburgische Bibliothek Erfurt"
Boineburgische Bibliothek in der Juristenschule,"Boineburgische Bibliothek Erfurt"
"Brau- und Armendirektion, kurmainzische","Kurfürstentum Mainz, Brau- und Armendirektion"
Breisgauische Reichsritterschaft,"Reichsritterschaft, Breisgau"
Buchbinderzunft,"Buchbinderzunft Erfurt"
