place_old;place_new;comment_fs;suffix;community;region_1;region_2;continent;variant_1;variant_2;variant_3;Source
"
Bamberg
";Bamberg;;;;;;Europe;;;;ProfAPI
"
Großherzogtum Hessen
";"
Großherzogtum Hessen
";;;;;;Europe;;;;ProfAPI
"
Wien
Reichsritterschaft
rittermäßiger Reichsadelsstand
";Wien;;;;;;Europe;;;;ProfAPI
?;n/a;;;;;;Europe;;;;ProfAPI
@;n/a;;;;;;Europe;;;;ProfAPI
‚berlingen;Überlingen;;;;;;Europe;;;;Universitätsmatrikeln
A⁄manstadianus;Amanstadt;;;;;;Europe;;;;Universitätsmatrikeln
Aachen;Aachen;;;;;;Europe;;;;ProfAPI
Aaminga;Aaminga;;;;;;Europe;;;;Universitätsmatrikeln
Abderode;Abderode;;;;;;Europe;;;;ProfAPI
Abenheimensis;Abenheim;;;;;;Europe;;;;Universitätsmatrikeln
Absteinacensis;Abenstein;;;;;;Europe;;;;Universitätsmatrikeln
Abteroda;Abteroda;;;;;;Europe;;;;ProfAPI
Abterode;Abterode;;;;;;Europe;;;;ProfAPI
Abtsteinach;Abtsteinach;;;;;;Europe;;;;Universitätsmatrikeln
Abulensis;Abul;;;;;;Europe;;;;Universitätsmatrikeln
Adolfseck ;Adolfseck ;;;;;;Europe;;;;HassiaSuperior
Aegopolitanus;Aegopolitanus;;;;;;Europe;;;;Universitätsmatrikeln
Aegrensis;Aegr;;;;;;Europe;;;;Universitätsmatrikeln
Aer flu:;Aer,  Fluss;;;;;;Europe;;;;HassiaSuperior
Afnorbach;Amorbach;;;;;;Europe;;;;Universitätsmatrikeln
Agrippinas;Köln;;;;;;Europe;;;;Universitätsmatrikeln
Ahaus;Ahaus;;;;;;Europe;;;;Universitätsmatrikeln
Ahlbacensis;Ahlbach;;;;;;Europe;;;;Universitätsmatrikeln
Ahrbergensis;Ahrberg;;;;;;Europe;;;;Universitätsmatrikeln
Ahrbergensls;Ahrberg;;;;;;Europe;;;;Universitätsmatrikeln
Ahrenfeld;Ahrenfeld;;;;;;Europe;;;;Universitätsmatrikeln
Ahusianus;Ahus;;;;;;Europe;;;;Universitätsmatrikeln
Aigen bei Salzburg;Aigen bei Salzburg;;;;;;Europe;;;;ProfAPI
