title_old,title_new
(Tit.-)Geh. Staatsrat,"Geheimer Staatsrat, titular"
(Titular-)Rat,"Rat, titular"
@,@
Adel- und Ritterstand des H. Röm. Reichs,@
Adelsstand,@
"Adelsstand, erblicher",@
"Adelsstand, preußisch",@
Adelstitel,@
bacc. iur.,"bacc., iur."
Bacc. phil.,"bacc., phil."
bacc. phil.,"bacc., phil."
bacc. phil.,"bacc.,  phil."
Bacc. phil.,"bacc.,  phil."
böhmisches Inkolat im Grafenstand,@
"Burgmann zu Dieburg, Herr auf Messel und Dürrenried",@
D[r.],Dr.
des Heiligen Römischen Reichs Ritter,@
des Heiligen Römischen Reichs Ritter,@
Dr.,Dr.
"Dr. ""beyder Wissenschaften""","Dr., iur. / Dr. theol."
Dr. iur,"Dr., iur."
Dr. iur.,"Dr., iur."
Dr. iur. h.c.,"Dr. h.c., iur."
Dr. iur. h.c.,"Dr. h.c., iur."
Dr. iur. utr,"Dr., iur. utr."
Dr. iur. utr,"Dr., iur. utr."
Dr. iur. utr.,"Dr., iur. utr."
Dr. iur. utr.,"Dr., iur. utr."
Dr. med.,"Dr., med."
Dr. med.,"Dr., med."
Dr. phil.,"Dr., phil."
Dr. phil.,"Dr., phil."
Dr. Phil. [?],"Dr., phil."
Dr. theol.,"Dr., theol."
Dr.iur. utr.,"Dr., iur. utr."
Dr.iur. utr.,"Dr., iur. utr."
erbl. Adel,@
Freiherr,@
Freiherrnstand,@
fürstbischöflich trientischer Adel und Ritterstand,@
Geheimer Rat,Geheimer Rat
"Geheimer Rat, kaiserlicher","Geheimer Rat, Kaiser"
"Geheimer Rat, kurmainzischer","Geheimer Rat, Kurfürstentum Mainz"
Grafenstand,@
Herr auf Blumenthal (ab 1806),@
Herr auf Dietenheim und Brandenburg (bis 1806),@
Herr auf Ermreuth,@
Herr auf Falkenberg,@
Herr auf Gelsdorf und Ipplendorf,@
Herr auf Lannach und Winterhof,@
Herr auf Loh bei Offenburg,@
Herr auf Neunthausen,@
Herr auf Oberheimbach,@
Herr auf Strazowiz bei Hradisch in Mähren,@
"Herr auf Wischenau, Tribuswinkel, Ober- und Niederklingenburg, Übelngönne, Canstein, Hanxleden und Beringhausen","Herr auf Wischenau, Tribuswinkel, Ober- und Niederklingenburg, Übelngönne, Canstein, Hanxleden und Beringhausen"
"Herr zu Burkheim, Einödhausen und Melkers","Herr zu Burkheim, Einödhausen und Melkers"
Hofkammerpräsident,Hofkammerpräsident
Hofrat,Hofrat
Inkolat,Inkolat
J.U.D.,"Dr., iur. utr."
J.U.L.,"Lic., iur. utr."
k.k. wirklicher Geheimer Hofrat / Geheimer Rat und Hofrat,"Geheimer Hofrat, wirklicher / Geheimer Rat / Hofrat"
kaiserlicher Titular- wirklicher Geheimer Rat,"Geheimer Rat, wirklicher, titular, Kaiser"
Kammerdirektor,Kammerdirektor
Kammerrat,Kammerrat
kleines Palatinat,@
königlich bayerischer erblicher Freiherrnstand,@
"königlich böhmischer Ritterstand mit Prädikat ""von""",@
königlich böhmisches Inkolat im Ritterstand,@
"königlich preußischer Grafenstand mit Namen- und Wappenvermehrung ""Hanxleden""",@
"königlich preußischer Grafenstand mit Namen- und Wappenvermehrung ""Hanxleden""",@
kurbayerischer Freiherrnstand,@
kurbayerischer Titularhofrat,"Hofrat, Kurbayern, titular"
kurpfälzischer (Titular-)Geheimer Rat,"Geheimer Rat, Kurpfalz, titular"
kurpfälzischer (Titular-)Geheimer Rat,"Geheimer Rat, Kurpfalz, titular"
kurpfälzischer (Titular-)Hofgerichtsrat,"Hofgerichtsrat, Kurpfalz, titular"
kurpfälzischer (Titular-)Hofgerichtsrat,"Hofgerichtsrat, Kurpfalz, titular"
kurpfälzischer (Titular-)Rat,"Rat, Kurpfalz, titular"
kurpfälzischer (Titular-)Rat,"Rat, Kurpfalz, titular"
kurpfälzischer Freiherrnstand,#
kurpfälzischer Freiherrnstand,#
L[ic.],Lic.
Lic.,Lic.
Lic.,Lic.
Lic. iur,"Lic., iur."
Lic. iur,"Lic., iur."
Lic. iur.,"Lic., iur."
Lic. iur.,"Lic., iur."
Lic. iur. utr.,"Lic., iur. utr."
Lic. iur. utr.,"Lic., iur. utr."
Lic. med.,"Lic., med."
Lic. med.,"Lic., med."
Mag.,mag.
Mag.,mag.
Mag. phil.,"mag., phil."
mag. phil.,"mag., phil."
Mag. phil.,"mag., phil."
mag. phil.,"mag., phil."
Magister,mag.
Magister,mag.
Mitherr des Amtes Lichtenfels,@
Mitherr des Amtes Lichtenfels,@
ohne jurist. Grad,@
österreichisch-erbländischer Freiherrnstand,@
