index,factoid_ID,pers_ID,pers_name,alternative_names,event_type,event_after-date,event_before-date,event_start,event_end,event_date,pers_title,pers_function,place_name,inst_name,rel_pers,source_quotations,additional_info,comment,info_dump,source
271,6602,OCR,Adam Nydaenus,Nydenus,Funktionsausübung,NaN,NaN,1578 # 1579 # 1580,1578 # 1579 # 1580,NaN,NaN,Lehrer,Mainz,"Universität Mainz, Philosophische Fakultät",NaN,NaN,"er lehrte in Mainz an der Artistenfakultät 1578 Logik, 1579 Physik, 1580 Metaphysik",NaN,NaN," Cat. Jes.1597, Nr.5; 
 Nom. rev., S.3, 26; 
 Matr. Würzburg, Nr.179; 
 Uhlenbrock, S.264; 
 Reindl, S.169; 
 Krafft, Jesuiten, S.342) 
"
407,358,OCR,Albert vom Putz,de Puteo,Funktionsausübung,NaN,NaN,1603 # 1604,1603 # 1604,NaN,NaN,Assessor,"Mainz, Königstein","Universität Mainz, Theologische Fakultät",NaN,NaN,"von Mitte August bis Ende Dezember 1603 war er in Königstein, kehrte dann wieder nach Mainz zurück und wird 1604 als Assessor der Theologischen Fakultät in Mainz genannt",NaN,NaN," Praetorius, Professoren, S.94 hier: + 25. 9.1606; 
 Verzeichnis theol. Fak., S.6; 
 Severus PM, S.38, 81; 
 Reg. Univ. Mog., S. 3 f.; 
 Forschner, S.98 f.; 
 HDM, S.71; 
 Arens, Inschr. S.287 Nr. 551 und Nr. 1416; 
 Franz Alois Como, Albert de Puteo, erster katholischer Seelsorger in Königstein nach der Reformation, Koblenz 1963, S.16) 
"
408,358,OCR,Albert vom Putz,de Puteo,Funktionsausübung,NaN,NaN,1603 # 1604,1603 # 1604,NaN,NaN,Reisender,"Mainz, Königstein","Universität Mainz, Theologische Fakultät",NaN,NaN,"von Mitte August bis Ende Dezember 1603 war er in Königstein, kehrte dann wieder nach Mainz zurück und wird 1604 als Assessor der Theologischen Fakultät in Mainz genannt",NaN,NaN," Praetorius, Professoren, S.94 hier: + 25. 9.1606; 
 Verzeichnis theol. Fak., S.6; 
 Severus PM, S.38, 81; 
 Reg. Univ. Mog., S. 3 f.; 
 Forschner, S.98 f.; 
 HDM, S.71; 
 Arens, Inschr. S.287 Nr. 551 und Nr. 1416; 
 Franz Alois Como, Albert de Puteo, erster katholischer Seelsorger in Königstein nach der Reformation, Koblenz 1963, S.16) 
"
411,353,OCR,Albert vom Putz,de Puteo,Promotion,NaN,NaN,1595 # 1596,1595 # 1596,NaN,"Dr., theol.",Promovend,NaN,NaN,NaN,NaN,1595 zum Baccalaureus bibl. und 1596 zum Dr. theol. promoviert,NaN,NaN," Praetorius, Professoren, S.94 hier: + 25. 9.1606; 
 Verzeichnis theol. Fak., S.6; 
 Severus PM, S.38, 81; 
 Reg. Univ. Mog., S. 3 f.; 
 Forschner, S.98 f.; 
 HDM, S.71; 
 Arens, Inschr. S.287 Nr. 551 und Nr. 1416; 
 Franz Alois Como, Albert de Puteo, erster katholischer Seelsorger in Königstein nach der Reformation, Koblenz 1963, S.16) 
"
439,reconstruction,OCR,Alexander Dietrich,Theodorici,Funktionsausübung,NaN,NaN,1495 # 1496,NaN,1495 # 1496,NaN,Prokurator,NaN,Reichskammergericht,NaN,NaN,"1495 Advokat, 1496 Prokurator am Reichskammergericht",NaN,NaN," Praetorius, Professoren, S.96; 
 Amrhein, S. 258; 
 Beiträge, S.6; 
 Pick, Reichsstaatsrecht, S.20, 23; 
 Hans-Heinrich Fleischer, Dietrich Gresemund der Jüngere.Diss.Mainz, = Beiträge zur Geschichte der Universität Mainz, Bd.8, Wiesbaden 1967, S.10 f.) 
"
464,1163,OCR,Alexander Herdt,Heerdt,Funktionsausübung,1748 # 1749,1749 # 1750,NaN,NaN,NaN,NaN,Dekan,Mainz,"Universität Mainz, Philosophische Fakultät",NaN,NaN,1748-1749 war er Professor in Mainz und 1749-1750 Dekan der Artistenfakultät in Mainz,NaN,NaN," Praetorius, Professoren, S.95 u. 137; 
 Prot, theol. Fak.1751, Bl.55a; 
 De Back.-Som. IV, Sp.295 f.; 
 RTh 39v, 50r; 
 RPh 210v, 211r; 
 Heß, Nr.7494; 
 Matr. Würzburg Nr.15012; 
 Matr. Heidelberg IV, Nr.472; 
 Krafft, Jesuiten, S. 336; 
 Cat. Jes.1730, S.8, Nr.12 hier: Eintritt in den Jesuitenorden am 10.10.1727; 
 Weber, S.639, 732; 
 Brück, Theol. Fak., S. 29 hier: + 19.2.1765, S.154, 159) 
"
465,1163,OCR,Alexander Herdt,Heerdt,Funktionsausübung,1748 # 1749,1749 # 1750,NaN,NaN,NaN,NaN,Professor,Mainz,"Universität Mainz, Philosophische Fakultät",NaN,NaN,1748-1749 war er Professor in Mainz und 1749-1750 Dekan der Artistenfakultät in Mainz,NaN,NaN," Praetorius, Professoren, S.95 u. 137; 
 Prot, theol. Fak.1751, Bl.55a; 
 De Back.-Som. IV, Sp.295 f.; 
 RTh 39v, 50r; 
 RPh 210v, 211r; 
 Heß, Nr.7494; 
 Matr. Würzburg Nr.15012; 
 Matr. Heidelberg IV, Nr.472; 
 Krafft, Jesuiten, S. 336; 
 Cat. Jes.1730, S.8, Nr.12 hier: Eintritt in den Jesuitenorden am 10.10.1727; 
 Weber, S.639, 732; 
 Brück, Theol. Fak., S. 29 hier: + 19.2.1765, S.154, 159) 
"
466,1166,OCR,Alexander Herdt,Heerdt,Funktionsausübung,1752 # 1755,1753 # 1765,NaN,NaN,NaN,NaN,Dekan,Mainz,"Universität Mainz, Theologische Fakultät",NaN,NaN,1752-1753 war er Dekan der Theologischen Fakultät und lehrte auch von 1755-1765 Scholastik in Mainz,NaN,NaN," Praetorius, Professoren, S.95 u. 137; 
 Prot, theol. Fak.1751, Bl.55a; 
 De Back.-Som. IV, Sp.295 f.; 
 RTh 39v, 50r; 
 RPh 210v, 211r; 
 Heß, Nr.7494; 
 Matr. Würzburg Nr.15012; 
 Matr. Heidelberg IV, Nr.472; 
 Krafft, Jesuiten, S. 336; 
 Cat. Jes.1730, S.8, Nr.12 hier: Eintritt in den Jesuitenorden am 10.10.1727; 
 Weber, S.639, 732; 
 Brück, Theol. Fak., S. 29 hier: + 19.2.1765, S.154, 159) 
"
467,1166,OCR,Alexander Herdt,Heerdt,Funktionsausübung,1752 # 1755,1753 # 1765,NaN,NaN,NaN,NaN,Lehrer,Mainz,"Universität Mainz, Theologische Fakultät",NaN,NaN,1752-1753 war er Dekan der Theologischen Fakultät und lehrte auch von 1755-1765 Scholastik in Mainz,NaN,NaN," Praetorius, Professoren, S.95 u. 137; 
 Prot, theol. Fak.1751, Bl.55a; 
 De Back.-Som. IV, Sp.295 f.; 
 RTh 39v, 50r; 
 RPh 210v, 211r; 
 Heß, Nr.7494; 
 Matr. Würzburg Nr.15012; 
 Matr. Heidelberg IV, Nr.472; 
 Krafft, Jesuiten, S. 336; 
 Cat. Jes.1730, S.8, Nr.12 hier: Eintritt in den Jesuitenorden am 10.10.1727; 
 Weber, S.639, 732; 
 Brück, Theol. Fak., S. 29 hier: + 19.2.1765, S.154, 159) 
"
477,5308,OCR,Aloysius Brockard,NaN,Funktionsausübung,1748 # 1757,1751 # 1759,NaN,NaN,NaN,NaN,Professor,Bamberg,"Universität Bamberg, Theologische Fakultät",NaN,NaN,von 1748-1751 war er Student der Theologie zu Bamberg und 1757-1759 Professor der Philosophie in Bamberg,NaN,NaN," Cat. Jes.1749, S.17 Nr.22; 
 Krafft, Jesuiten, S.329; 
 Weber, S. 231, 642 f., 679; 
 Matr. Würzburg, Nr.16866; 
 De Back.-Som. II, Sp. 195) 
"
