Abtei Baindt, Schwäbischer Reichskreis,
Abtei Elchingen, Schwäbischer Reichskreis,
Abtei Gengenbach, Schwäbischer Reichskreis,
Abtei Gernrode, Obersächsischer Reichskreis,
Abtei Gutenzell, Schwäbischer Reichskreis,
Abtei Hegebach, Schwäbischer Reichskreis,
Abtei Irsee, Schwäbischer Reichskreis,
Abtei Kaisheim, Schwäbischer Reichskreis,
Abtei Kornelimünster, Niederrheinisch-westfälischer Reichskreis,
Abtei Marchtal, Schwäbischer Reichskreis,
Abtei Ochsenhausen, Schwäbischer Reichskreis,
Abtei Petershausen, Schwäbischer Reichskreis,
Abtei Quedlinburg, Obersächsischer Reichskreis,
Abtei Roggenburg, Schwäbischer Reichskreis,
Abtei Rot, Schwäbischer Reichskreis,
Abtei Rottenmünster, Schwäbischer Reichskreis,
Abtei Salem, Schwäbischer Reichskreis,
Abtei Schussenried, Schwäbischer Reichskreis,
Abtei Schönthal, Nicht eingekreiste Territorien,
Abtei Ursberg, Schwäbischer Reichskreis,
Abtei Weingarten, Schwäbischer Reichskreis,
Abtei Weißenau, Schwäbischer Reichskreis,
Abtei Werden, Niederrheinisch-westfälischer Reichskreis,
Abtei Zwiefalten, Schwäbischer Reichskreis,
Ballei an der Etsch des Deutschen Ordens, Österreichischer Reichskreis,
Ballei Koblenz des Deutschen Ordens, Kurrheinischer Kreis,
Ballei Österreich des Deutschen Ordens, Österreichischer Reichskreis,
Burggrafentum Rheineck, Kurrheinischer Kreis,
ca. 360 Territorien von 60 Ritterfamilien / etwa 90.000 Einwohner, Ritterkreis Rhein,
ca. 670 Territorien von 140 Ritterfamilien / etwa 160.000 Einwohner, Ritterkreis Schwaben,
ca. 700 Territorien von 150 Ritterfamilien / etwa 200.000 Einwohner), Ritterkreis Franken,
Die Territorien der Ritterschaften werden noch ergänzt, Ritterkreis Schwaben,
Erzherzogtum Österreich ob der Enns (Oberösterreich) und Österreich unter der Enns (Niederösterreich), Österreichischer Reichskreis,
Erzstift Salzburg, Bayerischer Reichskreis,
Frauenstift Elten, Nicht eingekreiste Territorien,
Frauenstift Herford, Niederrheinisch-westfälischer Reichskreis,
Frauenstift Thorn, Niederrheinisch-westfälischer Reichskreis,
Fürsentum Lüneburg-Celle, Niedersächsischer Reichskreis,
Fürstentum Anhalt, Obersächsischer Reichskreis,
Fürstentum Ansbach, Fränkischer Reichskreis,
Fürstentum Arenberg, Kurrheinischer Kreis,
Fürstentum Blankenburg, Niedersächsischer Reichskreis,
Fürstentum Braunschweig-Calenberg, Niedersächsischer Reichskreis,
Fürstentum Braunschweig-Grubenhagen, Niedersächsischer Reichskreis,
Fürstentum Braunschweig-Wolfenbüttel, Niedersächsischer Reichskreis,
Fürstentum Cammin, Obersächsischer Reichskreis,
Fürstentum Halberstadt, Niedersächsischer Reichskreis,
Fürstentum Heitersheim des Johanniterordens, Oberrheinischer Reichskreis,
Fürstentum Hersfeld, Oberrheinischer Reichskreis,
Fürstentum Kulmbach-Bayreuth, Fränkischer Reichskreis,
Fürstentum Liechtenstein, Schwäbischer Reichskreis,
Fürstentum Löwenstein-Wertheim, Fränkischer Reichskreis,
Fürstentum Minden, Niederrheinisch-westfälischer Reichskreis,
Fürstentum Moers, Niederrheinisch-westfälischer Reichskreis,
Fürstentum Ostfriesland, Niederrheinisch-westfälischer Reichskreis,
Fürstentum Pfalz-Kaiserslautern, Oberrheinischer Reichskreis,
Fürstentum Pfalz-Simmern, Oberrheinischer Reichskreis,
Fürstentum Pfalz-Veldenz, Oberrheinischer Reichskreis,
