Abtei Baindt,Q468189
Abtei Elchingen,Q315382
Abtei Gengenbach,Q316077
Abtei Gernrode,Q997346
Abtei Gutenzell,Q477383
Abtei Hegebach,None
Abtei Irsee,Q461372
Abtei Kaisheim,Q749658
Abtei Kornelimünster,Q333970
Abtei Marchtal,Q1775571
Abtei Ochsenhausen,Q561312
Abtei Petershausen,Q457309
Abtei Quedlinburg,Q829708
Abtei Roggenburg,Q455642
Abtei Rot,Q478794
Abtei Rottenmünster,Q831398
Abtei Salem,Q652382
Abtei Schönthal,Q1776017
Abtei Schussenried,Q450048
Abtei Ursberg,Q315373
Abtei Weingarten,Q334353
Abtei Weißenau,Q458074
Abtei Werden,Q688373
Abtei Zwiefalten,Q460308
Ballei an der Etsch des Deutschen Ordens,None
Ballei Koblenz des Deutschen Ordens,None
Ballei Österreich des Deutschen Ordens,Q805178
Burggrafentum Rheineck,Q1014972
ca. 360 Territorien von 60 Ritterfamilien / etwa 90.000 Einwohner,None
ca. 670 Territorien von 140 Ritterfamilien / etwa 160.000 Einwohner,None
ca. 700 Territorien von 150 Ritterfamilien / etwa 200.000 Einwohner),None
Erzherzogtum Österreich ob der Enns (Oberösterreich) und Österreich unter der Enns (Niederösterreich),None
Erzstift Salzburg,Q701614
Frauenstift Elten,Q2022738
Frauenstift Herford,Q316174
Frauenstift Thorn,Q325254
Fürsentum Lüneburg-Celle,None
Fürstentum Anhalt,Q155578
Fürstentum Ansbach,Q42199
Fürstentum Arenberg,None
Fürstentum Blankenburg,Q1541623
Fürstentum Braunschweig-Calenberg,None
Fürstentum Braunschweig-Grubenhagen,None
Fürstentum Braunschweig-Wolfenbüttel,Q830084
Fürstentum Cammin,Q247175
Fürstentum Halberstadt,Q15880986
Fürstentum Heitersheim des Johanniterordens,None
Fürstentum Hersfeld,Q314666
Fürstentum Kulmbach-Bayreuth,Q34762
Fürstentum Liechtenstein,None
Fürstentum Löwenstein-Wertheim,None
Fürstentum Minden,Q876546
Fürstentum Moers,Q26271833
Fürstentum Ostfriesland,Q319250
Fürstentum Pfalz-Kaiserslautern,None
Fürstentum Pfalz-Simmern,None
Fürstentum Pfalz-Veldenz,None
Fürstentum Pfalz-Zweibrücken,Q701983
Fürstentum Querfurt,None
Fürstentum Ratzeburg,Q315657
Fürstentum Sachen-Eisenach,None
Fürstentum Sachsen-Altenburg,None
Fürstentum Sachsen-Coburg,None
Fürstentum Sachsen-Gotha,None
Fürstentum Sachsen-Weimar,None
Fürstentum Schwarzburg-Rudolstadt,Q695316
Fürstentum Schwarzburg-Sondershausen,Q630163
Fürstentum Schwerin,Q780721
Fürstentum Verden,Q15852601
Fürstentümer Pfalz-Neuburg und Pfalz-Sulzbach,None
Fürstliche Abtei Kempten,None
Fürstliche Propstei Ellwangen,None
Gefürstete Abtei Corvey,Q56004
Gefürstete Abtei Essen,Q564155
Gefürstete Abtei Niedermünster in Regensburg,None
Gefürstete Abtei Obermünster in Regensburg,None
Gefürstete Abtei Prüm,Q334114
Gefürstete Abtei zu Sankt Emmeram in Regensburg,None
