item	itemLabel	GeoNamesID	country	terrain	date	named
http://www.wikidata.org/entity/Q117020	Free Imperial City of Nuremberg					
http://www.wikidata.org/entity/Q118335	Hoftag					
http://www.wikidata.org/entity/Q122293	House of Luxembourg					
http://www.wikidata.org/entity/Q130875	House of Hohenstaufen					
http://www.wikidata.org/entity/Q131621	House of Wittelsbach					
http://www.wikidata.org/entity/Q148499	Margraviate of Brandenburg					
http://www.wikidata.org/entity/Q151095	Duchy of Berg					
http://www.wikidata.org/entity/Q152420	Guelders					
http://www.wikidata.org/entity/Q154439	Concordat of Worms					
http://www.wikidata.org/entity/Q154577	Peace of Augsburg					
http://www.wikidata.org/entity/Q155024	Schmalkaldic League					
http://www.wikidata.org/entity/Q155187	Burgundian Circle					
http://www.wikidata.org/entity/Q156199	Electorate of Saxony					
http://www.wikidata.org/entity/Q157070	County of Flanders					
http://www.wikidata.org/entity/Q159856	Duchy of Brabant					
http://www.wikidata.org/entity/Q161854	Kotzebue					
http://www.wikidata.org/entity/Q168651	Landgraviate of Hesse-Kassel					
http://www.wikidata.org/entity/Q170180	Margraviate of Meissen					
http://www.wikidata.org/entity/Q170390	County of Oldenburg					
http://www.wikidata.org/entity/Q178806	Middle Dutch					
http://www.wikidata.org/entity/Q181765	Holy Roman Emperor					
http://www.wikidata.org/entity/Q182698	Reichsmünzordnung					
http://www.wikidata.org/entity/Q183838	Zeche Lauseplatte					
http://www.wikidata.org/entity/Q184763	Drawing School					
http://www.wikidata.org/entity/Q186791	Jever Region					
http://www.wikidata.org/entity/Q189856	Zent Mörlenbach					
http://www.wikidata.org/entity/Q189881	Centgericht					
http://www.wikidata.org/entity/Q191450	Zepterlehen					
http://www.wikidata.org/entity/Q205727	Swabia Circary					
http://www.wikidata.org/entity/Q213266	Ewiger Landfriede					
http://www.wikidata.org/entity/Q218599	toll castle					
http://www.wikidata.org/entity/Q220422	Zoppenbroich					
http://www.wikidata.org/entity/Q224517	Diet of Worms					
http://www.wikidata.org/entity/Q232332	Zweibrücken-Bitsch					
http://www.wikidata.org/entity/Q247175	Prince-Bishopric of Cammin					
http://www.wikidata.org/entity/Q252268	county of Sundgau					
http://www.wikidata.org/entity/Q256961	Electorate of Bavaria					
http://www.wikidata.org/entity/Q281005	Saxe-Hildburghausen					
http://www.wikidata.org/entity/Q284667	Electorate of Mainz					
http://www.wikidata.org/entity/Q306390	Austrian Circle					
http://www.wikidata.org/entity/Q315663	Limburg					
http://www.wikidata.org/entity/Q315667	Saxe-Weimar					
http://www.wikidata.org/entity/Q317836	Palatinate-Mosbach-Neumarkt					
http://www.wikidata.org/entity/Q319250	County of East Frisia					
http://www.wikidata.org/entity/Q320335	County of Stolberg					
http://www.wikidata.org/entity/Q320530	lordship of Lichtenberg					
http://www.wikidata.org/entity/Q322062	Duchy of Jülich-Berg					
http://www.wikidata.org/entity/Q322763	County of Dagsburg					
http://www.wikidata.org/entity/Q323167	County of Werdenfels					
http://www.wikidata.org/entity/Q323964	Q323964					
http://www.wikidata.org/entity/Q324316	Recke family					
http://www.wikidata.org/entity/Q324465	Frankfurter Judengasse					
http://www.wikidata.org/entity/Q328299	House of Putbus					
http://www.wikidata.org/entity/Q330533	Seventeen Provinces					
http://www.wikidata.org/entity/Q341061	Achtundvierziger					
http://www.wikidata.org/entity/Q374388	Q374388					
http://www.wikidata.org/entity/Q378108	Electoral Rhenish Circle					
http://www.wikidata.org/entity/Q400558	Ahlspiess					
http://www.wikidata.org/entity/Q451519	Hesse-Rheinfels					
http://www.wikidata.org/entity/Q454775	House of Mansfeld					
http://www.wikidata.org/entity/Q457468	County of Rietberg					
http://www.wikidata.org/entity/Q458264	Saarbrücken					
http://www.wikidata.org/entity/Q460334	list of states in the Holy Roman Empire					
http://www.wikidata.org/entity/Q463742	Hochstift					
http://www.wikidata.org/entity/Q463845	Landgraviate of Hesse-Rotenburg					
http://www.wikidata.org/entity/Q465774	Order of the Golden Fleece					
http://www.wikidata.org/entity/Q468096	Nassau-Usingen					
http://www.wikidata.org/entity/Q469837	Hanau-Lichtenberg					
http://www.wikidata.org/entity/Q471490	Nostitz					
http://www.wikidata.org/entity/Q473151	House of Canossa					
http://www.wikidata.org/entity/Q476345	Strasbourg massacre					
http://www.wikidata.org/entity/Q477035	Prince-Bishopric of Osnabrück					
http://www.wikidata.org/entity/Q477858	House of Kyburg					
http://www.wikidata.org/entity/Q479353	Amt Hamm					
