item	itemLabel	state	GeoNamesID	country	terrain	date	named
http://www.wikidata.org/entity/Q151095	Duchy of Berg						
http://www.wikidata.org/entity/Q152420	Guelders						
http://www.wikidata.org/entity/Q153136	Habsburg monarchy						
http://www.wikidata.org/entity/Q153529	Duchy of Milan						
http://www.wikidata.org/entity/Q154849	Grand Duchy of Tuscany						
http://www.wikidata.org/entity/Q155570	Saxe-Weimar-Eisenach						
http://www.wikidata.org/entity/Q156199	Electorate of Saxony						
http://www.wikidata.org/entity/Q157367	Brandenburg-Prussia						
http://www.wikidata.org/entity/Q158151	Duchy of Saxe-Altenburg						
http://www.wikidata.org/entity/Q159626	Württemberg						
http://www.wikidata.org/entity/Q159856	Duchy of Brabant						
http://www.wikidata.org/entity/Q164092	Duchy of Saxony						
http://www.wikidata.org/entity/Q165040	Duchy of Parma and Piacenza						
http://www.wikidata.org/entity/Q168651	Landgraviate of Hesse-Kassel						
http://www.wikidata.org/entity/Q170180	Margraviate of Meissen						
http://www.wikidata.org/entity/Q256961	Electorate of Bavaria						
http://www.wikidata.org/entity/Q281005	Saxe-Hildburghausen						
http://www.wikidata.org/entity/Q283627	Margraviate of Austria						
http://www.wikidata.org/entity/Q284667	Electorate of Mainz						
http://www.wikidata.org/entity/Q309460	County of Hainaut						
http://www.wikidata.org/entity/Q315027	County of Henneberg						
http://www.wikidata.org/entity/Q315667	Saxe-Weimar						
http://www.wikidata.org/entity/Q316124	Hohenzollern-Haigerloch						
http://www.wikidata.org/entity/Q319376	Hanau-Münzenberg						
http://www.wikidata.org/entity/Q320335	County of Stolberg						
http://www.wikidata.org/entity/Q320530	lordship of Lichtenberg						
http://www.wikidata.org/entity/Q322763	County of Dagsburg						
http://www.wikidata.org/entity/Q339952	Principality of Orange-Nassau						
http://www.wikidata.org/entity/Q454775	House of Mansfeld						
http://www.wikidata.org/entity/Q457468	County of Rietberg						
http://www.wikidata.org/entity/Q458264	Saarbrücken						
http://www.wikidata.org/entity/Q463845	Landgraviate of Hesse-Rotenburg						
http://www.wikidata.org/entity/Q477038	Gemen						
http://www.wikidata.org/entity/Q541169	Saxe-Zeitz						
http://www.wikidata.org/entity/Q556263	Duchy of Brunswick-Lüneburg						
http://www.wikidata.org/entity/Q560771	Margraviate of Baden-Baden						
http://www.wikidata.org/entity/Q561334	Prince-Bishopric of Bamberg						
http://www.wikidata.org/entity/Q565812	Principality of Calenberg						
http://www.wikidata.org/entity/Q571653	Principality of Göttingen						
http://www.wikidata.org/entity/Q622783	Spanish Netherlands						
http://www.wikidata.org/entity/Q636389	Archbishopric of Magdeburg						
http://www.wikidata.org/entity/Q637238	Electorate of Baden						
http://www.wikidata.org/entity/Q640700	Saxe-Coburg-Eisenach						
http://www.wikidata.org/entity/Q641138	Duchy of Cleves						
http://www.wikidata.org/entity/Q642314	County of Burgundy						
http://www.wikidata.org/entity/Q649192	Prince-Bishopric of Paderborn						
http://www.wikidata.org/entity/Q650370	Margraviate of Baden-Durlach						
http://www.wikidata.org/entity/Q650489	Margraviate of Baden						
http://www.wikidata.org/entity/Q650645	Prince-Bishopric of Minden						
http://www.wikidata.org/entity/Q657241	Duchy of Westphalia						
http://www.wikidata.org/entity/Q660393	Lower Lotharingia						
http://www.wikidata.org/entity/Q675085	Saxe-Gotha-Altenburg						
http://www.wikidata.org/entity/Q675363	County of Geneva						
http://www.wikidata.org/entity/Q679114	Abbey of Reichenau						
http://www.wikidata.org/entity/Q693551	Landgraviate of Hesse-Darmstadt						
http://www.wikidata.org/entity/Q693562	Duchy of Saxe-Wittenberg						
http://www.wikidata.org/entity/Q694594	Duchy of Bremen and Verden						
http://www.wikidata.org/entity/Q696640	Duchy of Pomerania						
http://www.wikidata.org/entity/Q696651	Saxe-Eisenach						
http://www.wikidata.org/entity/Q697685	House of Nassau-Weilburg						
http://www.wikidata.org/entity/Q698089	Grand Duchy of Würzburg						
http://www.wikidata.org/entity/Q699964	Archduchy of Austria						
http://www.wikidata.org/entity/Q700247	Saxe-Weissenfels						
http://www.wikidata.org/entity/Q700283	Austrian Netherlands						
http://www.wikidata.org/entity/Q700663	Saxe-Coburg-Saalfeld						
http://www.wikidata.org/entity/Q701920	March of Verona						
http://www.wikidata.org/entity/Q701983	Palatinate-Zweibrücken						
http://www.wikidata.org/entity/Q702224	Duchy of Carinthia						
http://www.wikidata.org/entity/Q704288	Duchy of Holstein						
http://www.wikidata.org/entity/Q706018	Electorate of Brunswick-Lüneburg						
http://www.wikidata.org/entity/Q708821	House of Schwarzburg						
http://www.wikidata.org/entity/Q736029	Nassau-Siegen						
http://www.wikidata.org/entity/Q751868	Landgraviate of Brabant						
